,Name,Album,Artist
0,Dragula,Hellbilly Deluxe,Rob Zombie
1,Floor 555,breakaway,XXXTENTACION
2,One Step Closer,Hybrid Theory (Bonus Edition),Linkin Park
3,Cherry Bomb,The Runaways,The Runaways
4,Custer,.5: The Gray Chapter (Special Edition),Slipknot
5,Since U Been Gone,Breakaway,Kelly Clarkson
6,You,"It's Not Me, It's You (Special Edition)",Lily Allen
7,Savior,Appeal To Reason,Rise Against
8,For the Last Time,For the Last Time,$uicideboy$
9,My Songs Know What You Did In The Dark (Light Em Up),Save Rock And Roll,Fall Out Boy
10,Fake it,Blood,In This Moment
11,Gasoline,TRAUMA,I Prevail
12,Bad Blood,1989,Taylor Swift
13,Burn It to the Ground,Dark Horse,Nickelback
14,In the End,Hybrid Theory (Bonus Edition),Linkin Park
15,Duality,Vol. 3: The Subliminal Verses,Slipknot
16,Nightmare,Nightmare,Avenged Sevenfold
17,Misery Business,Riot!,Paramore
18,Bonesaw,N / O / I / S / E,Ghostemane
19,You should be sad,Manic,Halsey
20,Blood // Water,Blood // Water,grandson
21,Blood,Blood,In This Moment
22,Bow Down,TRAUMA,I Prevail
23,Hokus Pokus,The Great Milenko,Insane Clown Posse
24,DRAINO (feat. Denzel Curry),CITY MORGUE VOL 2: AS GOOD AS DEAD,City Morgue
25,By Myself,Hybrid Theory (Bonus Edition),Linkin Park
26,The Heretic Anthem,Iowa,Slipknot
27,FEEL NOTHING,DISPOSE,The Plot In You
28,Shepherd of Fire,Hail to the King,Avenged Sevenfold
29,Not Gonna Die,Rise (Deluxe Edition),Skillet
30,Walls Could Talk,hopeless fountain kingdom (Deluxe),Halsey
31,Domination,Cowboys from Hell,Pantera
32,Flesh,N / O / I / S / E,Ghostemane
33,Hurricane,TRAUMA,I Prevail
34,Halls Of Illusions,The Great Milenko,Insane Clown Posse
35,Bring Me To Life,Fallen,Evanescence
36,Crawling,Hybrid Theory (Bonus Edition),Linkin Park
37,Before I Forget,Vol. 3: The Subliminal Verses,Slipknot
38,Help,Crooked Teeth,Papa Roach
39,Hail to the King,Hail to the King,Avenged Sevenfold
40,Desabafo / Deixa Eu Dizer,A Arte Do Barulho,Marcelo D2
41,Down with the Sickness,The Sickness,Disturbed
42,Lift Me Up (feat. Rob Halford of Judas Priest),"The Wrong Side Of Heaven And The Righteous Side Of Hell, Volume 1",Five Finger Death Punch
43,Gatteka,N / O / I / S / E,Ghostemane
44,Come And Get It,Lifelines,I Prevail
45,Fake It,Finding Beauty In Negative Spaces (Bonus Track Version),Seether
46,Fingers Crossed,Mirror,Lauren Spencer Smith
47,Don't Stay,Meteora (Bonus Edition),Linkin Park
48,You're Going Down,Tri-Polar (International Version),Sick Puppies
49,Superbeast,Hellbilly Deluxe,Rob Zombie
