,Name,Album,Artist
0,Nice & Slow,Song House,Song House
1,MR. MONTGOMERY,MR. MONTGOMERY,Wé Ani
2,My idols lied to me (demo),My idols lied to me (demo),Aiyana-Lee
3,One More Shot,One More Shot (One Take Version),CIL
4,ego talkin - A COLORS SHOW,ego talkin' - A COLORS SHOW,Saint Harison
5,Take it Slow,Take it Slow,Song House
6,Strange,Strange,Alicia Creti
7,Villain Outta Me,Frantic,Wé Ani
8,Gangster of Love,Gangster of Love,Aiyana-Lee
9,Music Taste,ACT II,Annie Tracy
10,Disgusted,Song House,Song House
11,homies,homies,Saint Harison
12,Comfortable,Comfortable,Victor Ray
13,To the Moon,To the Moon,Wé Ani
14,On My Mama,JAGUAR II,Victoria Monét
15,Dead Man Walkin',Dead Man Walkin',Song House
16,Options,Options,Nelccia
17,Bleeding Me Dry - A COLORS SHOW,Bleeding Me Dry - A COLORS SHOW,Alicia Creti
18,Stay For A While,Stay For A While,Victor Ray
19,If I Didn't Love You,If I Didn't Love You,Wé Ani
20,Disgusted Mashup (Live),Song House,Song House
21,Hello,Hello,Aqyila
22,Angel,Angel,Halle
23,Love U Later,WEDNESDAY'S CHILD (SIDE A),Aiyana-Lee
24,It Only Cost Everything,It Only Cost Everything,Victor Ray
25,Love Alone,Love Alone,Song House
26,Flowers,Frantic,Wé Ani
27,Guilt Trip,Guilt Trip,Alicia Creti
28,Leave,Leave (One Take Version),CIL
29,Love's Graveyard,Love's Graveyard,Aiyana-Lee
30,Honest,Song House,Song House
31,JEANS (with Miguel),JEANS,Jessie Reyez
32,Won't Take Me Alive,Won't Take Me Alive,Wé Ani
33,Pity Party,Pity Party,Alicia Creti
34,Girl I Used To Be,Girl I Used To Be (One Take Version),CIL
35,Drunk Again,Drunk Again,Song House
36,Make You Love Me,WEDNESDAY'S CHILD (SIDE A),Aiyana-Lee
37,Spread Thin,Buckles Laboratories Presents: The Intermission,Mariah the Scientist
38,White Chocolate,White Chocolate,Wé Ani
39,You Ain't Shit,You Ain't Shit,Alicia Creti
40,Parachute,Song House,Song House
41,Devil In Your Eyes,Tears Dry On Their Own,CIL
42,TMF,TMF,Saint Harison
43,"Wednesday's Child, Pt. 1",WEDNESDAY'S CHILD (SIDE A),Aiyana-Lee
44,The Standard,The Standard,Wé Ani
45,What I See,What I See,Song House
46,Crazy,Crazy,Alicia Creti
47,Stay In My Lane,Stay In My Lane,S.I.A.T Stuck in a Tree
48,Clothes Are So Obnoxious,Clothes Are So Obnoxious,Annie Tracy
49,Miserable,WEDNESDAY'S CHILD (SIDE A),Aiyana-Lee
