,Name,Album,Artist
0,Heart To Heart,Here Comes The Cowboy,Mac DeMarco
1,More Human Than Human,"Astro Creep: 2000 Songs Of Love, Destruction And Other Synthetic Delusions Of The Electric Head",White Zombie
2,好久不見,認了吧,Eason Chan
3,Cigarette Daydreams,Melophobia,Cage The Elephant
4,Pretty When You Cry,Ultraviolence (Deluxe),Lana Del Rey
5,Cake,Cry Baby (Deluxe Edition),Melanie Martinez
6,Please Please Please Let Me Get What I Want - 2005 Remaster,B-Sides & Rarities,Deftones
7,Sarah,Trick,Alex G
8,worldstar money (interlude),In Tongues (Deluxe),Joji
9,Damn I Wish I Was Your Lover,Tongues And Tails,Sophie B. Hawkins
10,Afraid,I Love You.,The Neighbourhood
11,Sarcasm,Best Kind Of Mess,Get Scared
12,Doubt,Blurryface,Twenty One Pilots
13,I Will Fear No More,The Beginning & Everything After,The Afters
14,Oh No!,The Family Jewels,MARINA
15,Machinehead - Remastered,Sixteen Stone (Remastered),Bush
16,Sweet Jane,The Trinity Session,Cowboy Junkies
17,Cherry Waves,Saturday Night Wrist,Deftones
18,Mary,Trick,Alex G
19,Mad Hatter,Cry Baby (Deluxe Edition),Melanie Martinez
20,Realize,Realize,Nick Schilder
21,People Watching,Superache,Conan Gray
22,Scared Of Love (with instrumental by Ghost Loft),Goodbye & Good Riddance,Juice WRLD
23,My Ordinary Life,My Ordinary Life,The Living Tombstone
24,Fool,Next Thing,Frankie Cosmos
25,What A Time (feat. Niall Horan),Inner Monologue Part 1,Julia Michaels
26,Bang Bang Bang Bang,Ribbed Music For The Numb Generation,Sohodolls
27,champagne problems,evermore,Taylor Swift
28,I Always Wanna Die (Sometimes),A Brief Inquiry Into Online Relationships,The 1975
29,Space Song,Depression Cherry,Beach House
30,Are You Satisfied?,The Family Jewels,MARINA
31,Two Birds,Far,Regina Spektor
32,Astronomy,Superache,Conan Gray
33,Je te laisserai des mots,Je te laisserai des mots,Patrick Watson
34,Sippy Cup,Cry Baby (Deluxe Edition),Melanie Martinez
35,Aleph,Aleph,Gesaffelstein
36,Brooklyn Baby,Ultraviolence (Deluxe),Lana Del Rey
37,505,Favourite Worst Nightmare (Standard Version),Arctic Monkeys
38,gold rush,evermore,Taylor Swift
39,All The Things She Said,200 KM/H In The Wrong Lane (10th Anniversary Edition),t.A.T.u.
40,Cherry Bomb,The Runaways,The Runaways
41,It's Alright,Dance And Cry,Mother Mother
42,all the kids are depressed,glisten,Jeremy Zucker
43,Little League,Kid Krow,Conan Gray
44,Evergreen (You Didn’t Deserve Me At All),Ivory,Omar Apollo
45,沙龍,H3M,Eason Chan
46,Everybody Wants To Rule The World - From “The Hunger Games: Catching Fire” Soundtrack,The Hunger Games: Catching Fire (Original Motion Picture Soundtrack / Deluxe Version),Various Artists
47,The Great Gig in the Sky,The Dark Side of the Moon,Pink Floyd
48,Cupid's Chokehold / Breakfast in America,The Papercut Chronicles,Gym Class Heroes
49,tolerate it,evermore,Taylor Swift
