,Name,Album,Artist
0,Beautiful Things,Fireworks & Rollerblades,Benson Boone
1,Cruel Summer,Lover,Taylor Swift
2,Unwritten,Unwritten,Natasha Bedingfield
3,"Happy - From ""Despicable Me 2""",G I R L,Pharrell Williams
4,Best Day Of My Life,"Oh, What A Life",American Authors
5,Walking On Sunshine,Katrina & The Waves,Katrina & The Waves
6,Don't Worry Be Happy,Simple Pleasures,Bobby McFerrin
7,"Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)",Train
8,Classic,MKTO,MKTO
9,Here Comes The Sun - Remastered 2009,Abbey Road (Remastered),The Beatles
10,Shut Up and Dance,TALKING IS HARD,WALK THE MOON
11,Put Your Records On,Corinne Bailey Rae,Corinne Bailey Rae
12,On Top Of The World,Night Visions,Imagine Dragons
13,Mr. Blue Sky,Out of the Blue,Electric Light Orchestra
14,You Make My Dreams (Come True),Voices,Daryl Hall & John Oates
15,Sunroof,Good Times Go,Nicky Youre
16,Tongue Tied,Never Trust a Happy Song,GROUPLOVE
17,Better When I'm Dancin',Better When I'm Dancin',Meghan Trainor
18,Ain't No Mountain High Enough,United,Marvin Gaye
19,I Lived,Native,OneRepublic
20,I'm a Believer - 2006 Remaster,More of The Monkees (Deluxe Edition),The Monkees
21,Send Me On My Way,When I Woke,Rusted Root
22,Keep Your Head Up (Album Version),Andy Grammer,Andy Grammer
23,Three Little Birds,Exodus,Bob Marley & The Wailers
24,Build Me Up Buttercup (Mono),Baby Now That I've Found You,The Foundations
25,Everybody Talks,Picture Show,Neon Trees
26,Uptown Girl,An Innocent Man,Billy Joel
27,Dancing in the Moonlight,Onka's Big Moka,Toploader
28,I Want You Back,Diana Ross Presents The Jackson 5,The Jackson 5
29,AOK,TV,Tai Verdes
30,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake
31,Honeypie,For Abby,JAWNY
32,High Hopes,Pray for the Wicked,Panic! At The Disco
33,Someone To You,Where The Shadow Ends,BANNERS
34,Say Hey (I Love You) (feat. Cherine Tanya Anderson),All Rebel Rockers,Michael Franti & Spearhead
35,Upside Down,Upside Down,Jack Johnson
36,The Lazy Song,Doo-Wops & Hooligans,Bruno Mars
37,Safe And Sound,In A Tidal Wave Of Mystery (Deluxe Edition),Capital Cities
38,Me Levanté,Me Levanté,Dave Bolaño
39,Riptide,Dream Your Life Away,Vance Joy
40,Sunday Best,Where the Light Is,Surfaces
41,Dancing Queen,Arrival,ABBA
42,Lovely Day,Menagerie,Bill Withers
43,Shotgun,Staying at Tamara's,George Ezra
44,Good To Be,Good To Be,Mark Ambor
45,Watermelon Sugar,Fine Line,Harry Styles
46,Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson
47,Lush Life,So Good,Zara Larsson
48,Electric Love,Dopamine,BØRNS
49,What Makes You Beautiful,Up All Night,One Direction
