,Name,Album,Artist
0,Lipstick,Lipstick,Charlie Puth
1,Standing Next to You,GOLDEN,Jung Kook
2,greedy,greedy,Tate McRae
3,Seven (feat. Latto) (Explicit Ver.),GOLDEN,Jung Kook
4,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema
5,Attention,Voicenotes,Charlie Puth
6,3D (feat. Jack Harlow),GOLDEN,Jung Kook
7,Yes or No,GOLDEN,Jung Kook
8,Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,Summer Feelings (feat. Charlie Puth),Lennon Stella
9,Closer to You (feat. Major Lazer),GOLDEN,Jung Kook
10,We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,Charlie Puth
11,Hard On Yourself,Hard On Yourself,Charlie Puth
12,Light Switch,Light Switch,Charlie Puth
13,Let Me Love You,Encore,DJ Snake
14,Treat You Better,Illuminate,Shawn Mendes
15,Perfect Strangers,Blue,Jonas Blue
16,Girlfriend,Girlfriend,Charlie Puth
17,Closer,Closer,The Chainsmokers
18,Paris,Memories...Do Not Open,The Chainsmokers
19,Something Just Like This,Memories...Do Not Open,The Chainsmokers
20,Castle on the Hill,÷ (Deluxe),Ed Sheeran
21,Stitches,Handwritten,Shawn Mendes
22,Galway Girl,÷ (Deluxe),Ed Sheeran
23,What Do You Mean?,Purpose (Deluxe),Justin Bieber
24,Shape of You,÷ (Deluxe),Ed Sheeran
25,I Got You,Expectations,Bebe Rexha
26,Sorry,Purpose (Deluxe),Justin Bieber
27,Scared to Be Lonely,Scared to Be Lonely,Martin Garrix
28,Work from Home (feat. Ty Dolla $ign),7/27 (Deluxe),Fifth Harmony
29,Fast Car,Blue,Jonas Blue
30,Symphony (feat. Zara Larsson),What Is Love? (Deluxe Edition),Clean Bandit
31,One Call Away,Nine Track Mind,Charlie Puth
32,Stressed Out,Blurryface,Twenty One Pilots
33,The Nights,The Days / Nights,Avicii
34,Dangerously,Nine Track Mind,Charlie Puth
35,Hey Brother,True,Avicii
36,The Days,The Days / Nights,Avicii
