,Name,Album,Artist
0,In The Stars,Fireworks & Rollerblades,Benson Boone
1,Vortex,Older,Lizzy McAlpine
2,In The Cards,In The Cards,Jamie Miller
3,My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski
4,Goddess,Goddess,Laufey
5,How?,How?,Dhruv
6,The Last Bit Of Us,The Last Bit Of Us,Dean Lewis
7,Unfinished Business (with Toosii),Unfinished Business (with Toosii),NERIAH
8,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Zach Bryan
9,broken by you,broken by you,Alexander Stewart
10,"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
11,Romantic Homicide,Romantic Homicide,d4vd
12,Love Me Again,Layover,V
13,august,folklore,Taylor Swift
14,Heather,Kid Krow,Conan Gray
15,Sparks,Parachutes,Coldplay
16,traitor,SOUR,Olivia Rodrigo
17,Something in the Orange,Something in the Orange,Zach Bryan
18,Angels Like You,Plastic Hearts,Miley Cyrus
19,i am not who i was,i am not who i was,Chance Peña
20,Before You Leave Me,Before You Leave Me,Alex Warren
21,You’re Losing Me (From The Vault),You're Losing Me (From The Vault),Taylor Swift
22,Fix You,X&Y,Coldplay
23,Heart To Heart,Here Comes The Cowboy,Mac DeMarco
24,Happier Than Ever,Happier Than Ever,Billie Eilish
25,"I miss you, I’m sorry",minor,Gracie Abrams
26,favorite crime,SOUR,Olivia Rodrigo
27,ceilings,five seconds flat,Lizzy McAlpine
28,Falling,Fine Line,Harry Styles
29,Talking to the Moon,Doo-Wops & Hooligans,Bruno Mars
30,someday i'll get it,someday i'll get it,Alek Olsen
31,TV,Guitar Songs,Billie Eilish
32,This Town,Flicker (Deluxe),Niall Horan
33,About You,Being Funny In A Foreign Language,The 1975
34,Easy On Me,Easy On Me,Adele
35,Heartbreak Anniversary,TAKE TIME,Giveon
36,Falling Behind,Everything I Know About Love,Laufey
37,Train Wreck,Back from the Edge,James Arthur
38,Patadas de Ahogado,Patadas de Ahogado,LATIN MAFIA
39,"1 step forward, 3 steps back",SOUR,Olivia Rodrigo
40,The Night We Met,Strange Trails,Lord Huron
41,Matilda,Harry's House,Harry Styles
42,something to remember,something to remember,Matt Hansen
43,Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version),Taylor Swift
44,What A Time (feat. Niall Horan),Inner Monologue Part 1,Julia Michaels
45,the grudge,GUTS,Olivia Rodrigo
46,Let You Break My Heart Again,Let You Break My Heart Again,Laufey
47,Save Me (with Lainey Wilson),Whitsitt Chapel,Jelly Roll
48,Die For You,SMITHEREENS,Joji
49,Love Is Gone - Acoustic,Love Is Gone (Acoustic),SLANDER
50,Evergreen (You Didn’t Deserve Me At All),Ivory,Omar Apollo
51,Black Friday,Black Friday,Tom Odell
52,How Do I Say Goodbye,How Do I Say Goodbye,Dean Lewis
53,this is me trying,folklore,Taylor Swift
54,logical,GUTS,Olivia Rodrigo
55,To Love Someone,To Love Someone,Benson Boone
56,Locksmith,Locksmith,Sadie Jean
57,Tummy Hurts,Snow Angel,Reneé Rapp
58,Water Fountain,Narrated For You,Alec Benjamin
59,The Cut That Always Bleeds,Kid Krow,Conan Gray
60,LET EM GO,LET EM GO,Matt Hansen
61,Remember That Night?,Remember That Night?,Sara Kays
62,Special,SOS,SZA
63,Reckless,Reckless,Madison Beer
64,drunk text,drunk text,Henry Moodie
65,Great Gatsby,Nostalgia,Rod Wave
66,Falling Apart,Hold the Rhythm,Michael Schulte
67,It'll Be Okay,It'll Be Okay,Shawn Mendes
68,Last Man Standing,Last Man Standing,Livingston
69,Moral of the Story,Moral of the Story,Ashe
70,better off without me,better off without me,Matt Hansen
71,As the World Caves In,As the World Caves In,Sarah Cothran
72,Some Things I'll Never Know,I've Tried Everything But Therapy (Part 1),Teddy Swims
73,Memories,Memories,Dean Lewis
74,Liability,Melodrama,Lorde
75,28 (with Dean Lewis),28 (with Dean Lewis),Ruth B.
76,I GUESS I'M IN LOVE,I GUESS I'M IN LOVE,Clinton Kane
77,missin something,orange blood,Zach Templar
78,Enough,Enough,charlieonnafriday
79,BLEED,THE FIRST TIME,The Kid LAROI
80,emails i can’t send,emails i can't send,Sabrina Carpenter
81,birthday cake,birthday cake,Dylan Conrique
82,Bigger Than The Whole Sky,Midnights (3am Edition),Taylor Swift
83,i wish you cheated,i wish you cheated,Alexander Stewart
84,Bigger Person,Mirror,Lauren Spencer Smith
85,Don't Forget Me,Don't Forget Me,Maggie Rogers
86,Chasing Shadows,Chasing Shadows,Alex Warren
87,grave,THINK LATER,Tate McRae
88,Older,Older,Lizzy McAlpine
89,HEAVEN,HEAVEN,The Kid LAROI
90,if you only knew,if you only knew,Alexander Stewart
91,My Mind & Me,My Mind & Me,Selena Gomez
92,ghostin,"thank u, next",Ariana Grande
93,Just Because,Just Because,Sadie Jean
94,Who Do I Call Now? (Hellbent),Who Do I Call Now? (Hellbent),Sofia Camara
95,Nobody's Home,Under My Skin,Avril Lavigne
96,Peter Pan Was Right,Peter Pan Was Right,Anson Seabra
97,Someone Like You (feat. Joy Oladokun),I Was / I Am,Noah Kahan
98,"Drunk, Running",Older,Lizzy McAlpine
99,Intrusive Thoughts,Intrusive Thoughts,Natalie Jane
